"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"bill";0,00470821254017403;0,00592208675920481;0;0;0,00591770002827206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bitwa";0;0,00285544761831909;0;0;0;0;0;0;0;0,00846593151013724;0,00556647230796596;0;0;0;0;0;0,00485138392583431;0,0254537368091131;0
"biuro";0;0;0;0,00769643067260818;0;0,00199772319033941;0;0,00302953926362051;0;0;0;0;0;0;0;0;0;0;0
"blacka";0;0;0;0;0;0;0,00266030470801441;0;0;0;0;0;0;0;0;0,00635552509002966;0;0;0,0105255534099701
"blackiem";0;0;0;0;0;0;0,00324468283061297;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"blacku";0;0,0024076556808329;0;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"blad";0,000941642508034805;0;0;0;0;0,00199772319033941;0,00266030470801441;0;0;0;0;0;0;0;0;0;0;0;0
"bledny";0;0;0;0;0;0;0,00324468283061297;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"bliski";0,000681046470493714;0;0;0;0,00213999935395136;0,00144486077911195;0;0,00219112561838023;0;0,00211648287753431;0;0;0;0;0;0;0;0;0
"blisko";0;0;0;0,00469353686913813;0;0;0;0;0;0;0;0;0,0148307192394684;0;0;0;0;0;0
"blizna";0,00564985504820883;0;0,00269530871733039;0;0;0,00399544638067881;0;0;0;0;0;0;0;0;0;0;0;0;0
"blizniak";0,00344546765924001;0;0;0;0;0;0;0;0,0463989644777655;0;0;0;0;0;0;0;0;0;0
"blona";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0259834201075487;0;0,00818117761572692;0;0
"blonie";0,00114848921974667;0;0;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"blyskawica";0;0;0,00328737602575262;0;0;0;0,00973404849183892;0;0;0;0;0;0;0;0;0;0;0;0
"bohater";0;0,00285544761831909;0;0,00278323615398298;0;0,00144486077911195;0;0;0,027514277407946;0;0;0;0;0;0;0,00919331464704641;0;0;0
"boisko";0,00229697843949334;0;0;0,00469353686913813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"boja";0,000441275641245964;0,000925075992174637;0;0,0018033634587335;0;0,00093617968000269;0,00124668083261097;0,00141971275704617;0;0,00137134891587207;0,00120224230582234;0;0;0;0;0;0;0;0
"bol";0,00282492752410442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00635552509002966;0;0,0117311234040636;0
"bolec";0,00376657003213922;0;0;0;0;0,00199772319033941;0;0;0;0;0;0;0;0;0;0,00635552509002966;0;0;0
"bozonarodzeniowy";0,00229697843949334;0;0;0;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bozy";0;0;0,00227523027676476;0;0,00749309171147862;0;0,00224568183161197;0,00511473836960998;0;0;0;0;0;0;0;0;0;0;0
"brac";0;0;0;0,00324845016393582;0;0,00168636722688941;0;0;0;0;0,00649690032787163;0;0;0;0;0;0,00566228592806949;0;0
"bracia";0;0,0024076556808329;0;0;0;0;0;0;0;0,00356915111367427;0;0;0;0;0;0;0;0;0
"bracic";0,00114848921974667;0,0024076556808329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"brakowac";0,000794882430496317;0;0;0;0;0,00168636722688941;0,00224568183161197;0;0;0,00247025001477317;0;0;0;0;0;0;0;0;0
"brat";0,000509396248722059;0,00106788183201333;0,00145806942447974;0;0;0;0,00143913345792805;0,00163887666824344;0;0,00316609360744172;0,00555133946584193;0;0;0;0;0;0;0;0
"bronic";0,000588035718784452;0;0;0;0;0;0,00166130370901342;0,00378376567172339;0;0,00365486815982951;0,00160208575406785;0;0;0;0;0;0,012566486242235;0;0
"brown";0;0,0024076556808329;0;0;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"budzic";0,00190594503536293;0,00159822462861568;0;0,00155780709826774;0,0011977805688903;0,000808704060015959;0,00215385117282972;0;0;0,00592309072528172;0,00103853806551182;0;0;0,0156232248116127;0;0;0;0;0
"butelka";0,00114848921974667;0;0,00986212807725785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"byc";0,000876688519956101;0,000551358443536513;0,00125469389394527;0,000716553507062386;0,00137737507468659;0,000371984266231936;0,000990719334439902;0,000564112658574711;0,00354182162062265;0,000544895633941946;0,00143310701412477;0;0,00169813365372319;0,00359315236874762;0,00595026032264605;0;0,00187350765826387;0,00109219168917879;0
"calkowicie";0;0;0;0;0;0,00243655477377613;0;0;0;0;0;0;0;0;0;0;0,00818117761572692;0;0
"calowac";0;0,00166636583650377;0;0;0,00249769723715954;0;0;0,00255736918480499;0;0;0;0;0;0;0;0;0;0,0198055287528069;0
"caly";0,00257871822487508;0,00245724615538336;0,00134203443870937;0,00287412577769839;0,00220988337574143;0,00298408857939578;0,00264921084004967;0,00226267922430863;0;0,00218559894304098;0,00255477846906524;0;0;0;0;0;0,00166993705975423;0,00584110143367779;0
"cedrik";0,00689093531848003;0;0;0;0;0,0121827738688807;0;0;0;0;0;0;0;0;0;0;0;0;0
"cedrika";0,0080394245382267;0;0;0;0;0,0121827738688807;0;0;0;0;0;0;0;0;0;0;0;0;0
"cedriku";0;0;0;0;0;0,00243655477377613;0;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"cel";0,000588035718784452;0,00369821722621741;0;0,00720938589330533;0,00184773890302492;0,00124753564345269;0;0;0;0;0;0;0,00759344754667776;0;0;0;0;0;0
"cenny";0,00114848921974667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0143080507200158;0
"centaur";0;0;0;0;0;0,00199772319033941;0;0,00908861779086153;0;0,00292633517881586;0;0;0;0;0;0;0;0;0
"chang";0,00114848921974667;0;0;0;0;0;0;0,00739005122512761;0;0;0;0;0;0;0;0;0;0;0
"charlak";0;0;0;0,00469353686913813;0;0;0;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"charlie";0,00282492752410442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0127110501800593;0;0,0117311234040636;0
"charliego";0,000794882430496317;0;0,00227523027676476;0;0;0;0;0;0;0;0;0;0;0;0;0,00536498213232359;0;0,00990276437640346;0
"chat";0,000794882430496317;0,00166636583650377;0;0;0;0,00168636722688941;0,00224568183161197;0;0;0;0;0;0;0;0;0;0;0;0
"chata";0;0,0024076556808329;0;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"chatka";0;0;0,00227523027676476;0;0,00249769723715954;0;0,00224568183161197;0;0,0321132501920512;0;0;0;0;0;0;0;0;0;0
"chciec";0,000778947297358524;0,000653183975368393;0,00401331307942696;0,00636665594488412;0,000979050203079959;0,00330512071557375;0,000880264917854109;0,00100244048096924;0,00629389416265688;0,00096829140963952;0,00212221864829471;0;0,0040234939852601;0;0;0,0010514858982959;0;0;0,00348278728368365
"chlopak";0,00101879249744412;0;0;0,00208175229969072;0,00480190863795327;0,00324209885533229;0;0;0;0;0,00693917433230241;0;0;0;0;0;0;0,0063461347638149;0,0113879256236046
"chlopiec";0,00228713404243552;0;0,00872876527936253;0,00155780709826774;0,0011977805688903;0,0113218568402234;0,00538462793207429;0;0,0154000358857325;0,00710770887033806;0;0;0,0024611929497746;0;0;0;0;0;0
"cho";0,00574244609873335;0;0;0;0;0;0;0,0147801024502552;0;0;0;0;0;0;0;0;0;0;0
"chociaz";0;0,00197402891973494;0;0;0;0,00199772319033941;0;0;0;0;0;0;0;0;0;0;0;0,0117311234040636;0
"chodzic";0;0;0;0,00240312863110178;0,00739095561209969;0,00124753564345269;0;0;0;0;0;0;0,00379672377333888;0;0,0133037201017794;0,00396889024516093;0;0;0
"chory";0,000941642508034805;0,00197402891973494;0;0,00384821533630409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chronic";0;0;0;0;0;0,00144486077911195;0;0;0;0;0;0;0;0,0279130350515395;0;0,00459665732352321;0,00485138392583431;0;0,00761264592314713
"chrzestny";0,00238464729148895;0,00333273167300754;0;0;0;0;0,00449136366322395;0,00511473836960998;0;0;0;0;0;0;0;0;0;0;0
"chudy";0,00114848921974667;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0259834201075487;0;0;0;0
"chwila";0,00571783510608879;0,00879023545738622;0,00109109565992032;0,00155780709826774;0;0;0,00430770234565943;0;0;0,00236923629011269;0,00415415226204729;0;0,00738357884932379;0;0;0,0102911934319931;0;0;0
"chyba";0,00114848921974667;0;0;0;0;0,00243655477377613;0;0;0;0;0;0;0;0;0;0;0;0;0
"ciagle";0;0;0;0;0;0,00199772319033941;0;0,00302953926362051;0;0,00292633517881586;0;0;0;0;0;0;0;0;0
"cialo";0,00176510256498386;0,000925075992174637;0;0,0018033634587335;0,00138658612604843;0;0;0,00141971275704617;0;0,00137134891587207;0,00360672691746701;0;0;0;0;0;0;0,00549747803279113;0
"cichy";0,00114848921974667;0;0;0;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ciemnosc";0;0;0;0;0;0,00399544638067881;0;0;0;0;0,00513095378173878;0;0,0121596575923399;0;0;0;0;0;0
"ciemny";0,00158976486099263;0;0;0;0;0;0,00449136366322395;0,00255736918480499;0;0;0;0;0;0;0,0179834201075487;0;0;0;0
"cierpiec";0;0;0,00328737602575262;0;0;0;0;0;0;0;0;0;0;0;0;0,00775161697719233;0;0;0
"cieszyc";0;0;0;0;0;0,00243655477377613;0;0;0;0;0;0;0;0;0;0,00775161697719233;0;0;0
"ciezki";0;0,00197402891973494;0;0;0;0;0;0,00302953926362051;0;0;0;0;0;0;0;0;0;0,0117311234040636;0
"ciezko";0;0;0;0,00469353686913813;0;0;0;0;0;0;0,00312902457942542;0;0;0;0;0;0;0;0
"ciocia";0;0;0;0;0;0,00243655477377613;0;0;0;0;0;0,0550496188719252;0;0;0;0;0;0;0
"ciotka";0,000681046470493714;0;0;0;0;0,00144486077911195;0,00384815068642602;0,00219112561838023;0;0;0;0;0;0;0;0;0,00485138392583431;0;0
"cmentarz";0,00459395687898668;0,0024076556808329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"codziennie";0;0,00481531136166581;0;0;0;0;0;0;0;0;0;0;0,00741535961973421;0;0;0;0;0;0
"cofac";0;0;0;0;0;0,00974621909510453;0;0;0;0;0;0;0,00741535961973421;0;0;0;0;0;0
"cofnac";0;0;0;0;0;0,0121827738688807;0;0;0;0;0,00312902457942542;0;0;0;0;0;0;0;0
"colin";0;0,0024076556808329;0;0,00469353686913813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"corka";0;0,00285544761831909;0;0;0;0,00577944311644778;0;0;0;0;0,00185549076932199;0;0;0;0;0;0,00485138392583431;0,00848457893637103;0
"crabbea";0;0,0024076556808329;0;0,00469353686913813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"crabbeem";0;0;0;0,00469353686913813;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"creevey";0;0,0024076556808329;0;0,00469353686913813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cross";0;0,00106788183201333;0,00145806942447974;0,00208175229969072;0,00160063621265109;0,0010806996184441;0,00143913345792805;0,00163887666824344;0;0;0;0;0;0;0;0;0;0;0
"cruciatus";0,000794882430496317;0,00166636583650377;0;0;0,00249769723715954;0,00168636722688941;0;0;0;0;0;0;0;0;0;0;0;0;0
