"";"Boguslawa_Andrzejewska_1_Theta_Healing";"Boguslawa_Andrzejewska_2_Badz_zwyciezca_8_krokow_do_sukcesu";"Boguslawa_Andrzejewska_3_Czy_istnieje_prawda";"Boguslawa_Andrzejewska_4_O_pozytywnym_mysleniu";"gwiezdna_wedrowka_czy_leci_z_nami_polak_wydanie_drugie_poprawione";"gwiezdna_wedrowka_lot_von_brauna";"gwiezdna_wedrowka_lot_von_brauna_cz_iii";"gwiezdna_wedrowka_lot_von_brauna_ii";"Jaszczuk_Jakub-Stern_1_Foresta-Umbra_RuLit_Me";"Jaszczuk_Jakub-Stern_2_Plan-Sary_RuLit_Me";"Jaszczuk_Jakub-Stern_3_Marionetki_RuLit_Me";"Jaszczuk_Jakub-Stern_4_Akuszer-smierci_RuLit_Me";"Wiedzmin_1_Ostatnie-zyczenie";"Wiedzmin_2_Miecz-przeznaczenia";"Wiedzmin_3_Krew-elfow";"Wiedzmin_4_Czas-pogardy";"Wiedzmin_5_chszest-ognia";"Wiedzmin_6_Wieza-jaskolki";"Wiedzmin_7_pani-jeziora";"wiedzmin_8_Sezon-burz"
"dane";0;0;0,00478959454669334;0,00541773809380067;0,00550803372869734;0;0,00961402250827173;0;0,00463834419258724;0;0,0048960299810643;0,0104088826369084;0;0;0;0;0;0;0,00149708731017821;0
"diabla";0;0;0;0;0,00550803372869734;0;0;0;0,0139150325777617;0;0;0,0104088826369084;0,00183601124289911;0,00222546817321105;0,00134478951667077;0,00180838316674058;0,0040549941560962;0;0;0
"docenic";0,0159268445167152;0,0160558068204943;0,00957918909338668;0,00541773809380067;0,00550803372869734;0,00609183453865144;0;0;0;0;0;0;0;0;0;0;0,0040549941560962;0,00154250652845667;0;0
"dominowac";0,0212357926889536;0;0,00478959454669334;0;0;0,00609183453865144;0,00480701125413586;0,0055310798949262;0;0;0;0;0;0;0,00134478951667077;0;0,0020274970780481;0;0,00149708731017821;0
"domyslac";0,0106178963444768;0;0;0;0;0;0,00961402250827173;0,027655399474631;0;0;0;0,00520444131845418;0;0;0,0040343685500123;0;0,0020274970780481;0,00308501305691333;0,00299417462035643;0
"dostawac";0,0053089481722384;0;0,00957918909338668;0,0108354761876013;0,0110160674573947;0;0,00480701125413586;0;0;0;0;0,00520444131845418;0;0;0;0,00180838316674058;0;0,00154250652845667;0;0
"doswiadczony";0;0,00535193560683143;0;0;0,00550803372869734;0,00609183453865144;0,00480701125413586;0,0055310798949262;0;0;0,0048960299810643;0;0;0;0;0;0,0020274970780481;0,00154250652845667;0;0
"dowodzic";0;0;0;0;0,00550803372869734;0,0243673381546058;0;0,0110621597898524;0;0;0;0,00520444131845418;0,00183601124289911;0,00111273408660552;0;0;0;0;0,00149708731017821;0,0186187055617938
"duma";0;0;0;0;0,00550803372869734;0;0;0;0,00463834419258724;0;0,0048960299810643;0,00520444131845418;0;0;0,00134478951667077;0,00180838316674058;0;0;0,00299417462035643;0,0124124703745292
"dwadziescia";0;0;0;0;0;0;0,00961402250827173;0;0;0,0065767566909819;0,00979205996212861;0,0156133239553625;0,00183601124289911;0,00111273408660552;0;0,00180838316674058;0;0;0,00149708731017821;0
"dwaj";0;0;0;0;0,00550803372869734;0,0182755036159543;0,00480701125413586;0,0110621597898524;0;0;0;0;0,00367202248579823;0,00111273408660552;0;0,00180838316674058;0;0,00154250652845667;0;0
"dwoje";0,0053089481722384;0;0,00478959454669334;0,00541773809380067;0;0,0121836690773029;0;0,0055310798949262;0;0;0;0;0;0,00111273408660552;0,00134478951667077;0;0,0020274970780481;0;0;0
"dyskutowac";0;0;0;0;0,0110160674573947;0,00609183453865144;0;0;0;0,0065767566909819;0;0,0104088826369084;0,00183601124289911;0;0,00134478951667077;0;0,0020274970780481;0;0,00149708731017821;0
"dziadek";0;0;0;0;0;0,00609183453865144;0,00480701125413586;0,0055310798949262;0,00463834419258724;0;0,00979205996212861;0;0;0;0,00134478951667077;0,00361676633348116;0;0,00154250652845667;0;0
"element";0,0053089481722384;0,0160558068204943;0;0,016253214281402;0;0;0,00480701125413586;0;0,00463834419258724;0,0065767566909819;0;0,00520444131845418;0;0;0;0;0;0;0;0,0124124703745292
"falszywy";0,0053089481722384;0;0;0;0,00550803372869734;0;0;0,0055310798949262;0,00463834419258724;0;0,0048960299810643;0;0;0;0;0,00180838316674058;0;0,00154250652845667;0,00299417462035643;0
"gabinet";0;0;0,00957918909338668;0;0;0,0182755036159543;0,00480701125413586;0,0165932396847786;0,0371067535406979;0,0591908102188371;0,0048960299810643;0,0104088826369084;0;0;0;0;0;0;0;0
"gladki";0,0053089481722384;0,0160558068204943;0;0;0,00550803372869734;0;0,00961402250827173;0;0;0;0;0;0,00183601124289911;0,00111273408660552;0,00134478951667077;0;0;0;0,00149708731017821;0
"glod";0;0,00535193560683143;0,00478959454669334;0,016253214281402;0,00550803372869734;0;0;0;0;0;0;0;0;0,00222546817321105;0,00134478951667077;0;0,0020274970780481;0;0,00149708731017821;0
"glosic";0,0053089481722384;0;0;0,00541773809380067;0;0;0,00480701125413586;0;0;0;0;0;0,00183601124289911;0;0,0040343685500123;0,00180838316674058;0;0,00462751958537;0,00149708731017821;0
"glosny";0;0;0,00478959454669334;0;0;0;0;0,0055310798949262;0,0139150325777617;0,0197302700729457;0,0048960299810643;0,0156133239553625;0;0;0;0;0,0020274970780481;0,00617002611382666;0;0
"gniew";0;0,00535193560683143;0;0,00541773809380067;0;0;0;0,0165932396847786;0;0,0065767566909819;0;0;0,00183601124289911;0,00222546817321105;0,00134478951667077;0;0,0020274970780481;0;0;0
"gorszy";0,0053089481722384;0;0,00478959454669334;0;0,00550803372869734;0,0121836690773029;0,00480701125413586;0,0055310798949262;0,0139150325777617;0;0;0;0;0;0;0;0;0;0,00149708731017821;0
"gospodarz";0;0;0;0;0;0;0;0;0,00463834419258724;0;0,0244801499053215;0,0104088826369084;0,00183601124289911;0,00333820225981657;0,00134478951667077;0,0180838316674058;0;0,00462751958537;0;0
"gotow";0;0;0;0;0,0110160674573947;0;0;0,0110621597898524;0,0185533767703489;0,0065767566909819;0;0,00520444131845418;0;0;0;0;0,0020274970780481;0,00154250652845667;0,00149708731017821;0
"grunt";0,0053089481722384;0;0;0;0,0220321349147894;0;0,00480701125413586;0,0055310798949262;0;0;0;0;0;0;0,00134478951667077;0,00180838316674058;0;0,00154250652845667;0;0,0310311759363231
"hala";0;0;0;0;0,0495723035582761;0,0487346763092115;0,0576841350496304;0,0055310798949262;0,00463834419258724;0,0131535133819638;0,0048960299810643;0;0;0,00111273408660552;0;0;0;0;0;0
"honor";0;0;0;0;0;0,00609183453865144;0;0;0;0,0065767566909819;0,0048960299810643;0,0104088826369084;0;0;0,00134478951667077;0;0,0040549941560962;0;0,00299417462035643;0,00620623518726461
"humor";0;0;0;0;0,0110160674573947;0,00609183453865144;0;0;0,00463834419258724;0,0131535133819638;0,0048960299810643;0;0,00183601124289911;0;0;0;0;0;0,00149708731017821;0,00620623518726461
"idealny";0,026544740861192;0,0107038712136629;0;0;0;0;0;0;0,00463834419258724;0,0263070267639276;0,00979205996212861;0,0104088826369084;0;0;0;0;0,0020274970780481;0;0;0,0124124703745292
